district,borough,building_id,school_name,org_id,project_#,description,fy_constr_start,total
01,Manhattan,M064,P.S. 64 (OLD 71),M064,DSF0000866118,State of Good Repair - System Replacements - Heating,2018,77690
01,Manhattan,M064,P.S. 64 (OLD 71),M064,DSF0000785332,State of Good Repair - System Replacements -,2015,342319
01,Manhattan,M064,P.S. 64 (OLD 71),M064,DSF0000865997,State of Good Repair - System Replacements -,2018,170000
01,Manhattan,M064,P.S. 64 (OLD 71),M839,DSF0000822021,New/Retrofit Telephone/Intercom Systems,2015,210552
01,Manhattan,M064,P.S. 64 (OLD 71),M064,DSF0000776052,IP Surveillance Camera Installation,2015,550622
01,Manhattan,M110,P.S. 110,,DSF0000809086,State of Good Repair - System Replacements -,2015,239569
01,Manhattan,M110,P.S. 110,M110,DSF0000866003,State of Good Repair - System Replacements -,2017,107936
01,Manhattan,M134,P.S. 134,,DSF0000798307,State of Good Repair - Building Upgrade - Lighting,2015,935877
01,Manhattan,M134,P.S. 134,M134,DSF0000809418,State of Good Repair - System Replacements -,2016,99534
01,Manhattan,M134,P.S. 134,M134,DSF0000867086,New/Retrofit Telephone/Intercom Systems,2018,244033
01,Manhattan,M137,P.S. 137,M184,DSF0000853493,State of Good Repair - Building Upgrade - Climate,2018,85891
01,Manhattan,M137,P.S. 137,M184,DSF0000786134,State of Good Repair - System Replacements - Heating,2015,31680
01,Manhattan,M137,P.S. 137,,DSF0000799815,State of Good Repair - System Replacements - Heating,2015,242204
01,Manhattan,M137,P.S. 137,,DSF0000876108,State of Good Repair - System Replacements - Paved,2019,949133
01,Manhattan,M137,P.S. 137,M184,DSF0000786136,State of Good Repair - System Replacements -,2015,466988
01,Manhattan,M137,P.S. 137,M184,DSF0000809459,State of Good Repair - System Replacements -,2015,99980
01,Manhattan,M140,P.S. 140,,DSF0000799775,State of Good Repair - Building Upgrade - Lighting,2016,51547
01,Manhattan,M140,P.S. 140,M140,DSF0000866196,Classroom Connectivity,2017,22121
01,Manhattan,M142,P.S. 142,,DSF0000799587,State of Good Repair - Building Upgrade - Lighting,2015,133836
01,Manhattan,M142,P.S. 142,M142,DSF0000809493,State of Good Repair - System Replacements - Paved,2017,2997156
01,Manhattan,M188,P.S. 188,,DSF0000777498,Safety and Security - Safety and Security - Emergency,2015,151989
01,Manhattan,M188,P.S. 188,,DSF0000799593,State of Good Repair - Building Upgrade - Lighting,2015,150664
01,Manhattan,M188,P.S. 188,,DSF0000809940,State of Good Repair - System Replacements -,2015,165158
01,Manhattan,M188,P.S. 188,M188,DSF0000843783,Classroom Connectivity,2016,233060
02,Manhattan,M001,P.S. 1,,DSF0000784576,State of Good Repair - Building Upgrade - Lighting,2016,761353
02,Manhattan,M001,P.S. 1,M001,DSF0000761938,State of Good Repair - Building Upgrade - Low-Voltage,2016,1298088
02,Manhattan,M001,P.S. 1,,DSF0000775641,State of Good Repair - System Replacements -,2016,673579
02,Manhattan,M001,P.S. 1,,DSF0000866861,State of Good Repair - System Replacements -,2018,12000
02,Manhattan,M001,P.S. 1,,DSF0000784587,State of Good Repair - System Replacements - Kitchen,2016,264794
02,Manhattan,M001,P.S. 1,M001,DSF0000807952,State of Good Repair - System Replacements -,2016,101886
02,Manhattan,M002,P.S. 2,,DSF0000799701,State of Good Repair - Building Upgrade - Lighting,2015,221894
02,Manhattan,M002,P.S. 2,M002,DSF0000807970,State of Good Repair - System Replacements -,2016,51237
02,Manhattan,M003,P.S. 3,,DSF0000799772,State of Good Repair - Building Upgrade - Lighting,2016,89565
02,Manhattan,M003,P.S. 3,M003,DSF0000807990,State of Good Repair - System Replacements -,2017,51183
02,Manhattan,M006,P.S. 6,,DSF0000821593,State of Good Repair - Building Upgrade - Lighting,2015,752521
02,Manhattan,M006,P.S. 6,M006,DSF0000865907,New/Retrofit Telephone/Intercom Systems,2017,167932
02,Manhattan,M011,P.S. 11,M011,DSF0000762105,State of Good Repair - Building Upgrade - Low-Voltage,2015,1933981
02,Manhattan,M011,P.S. 11,,DSF0000866862,State of Good Repair - System Replacements -,2018,6000
02,Manhattan,M011,P.S. 11,,DSF0000821721,State of Good Repair - System Replacements -,2015,378884
02,Manhattan,M017,I.S. 17,M408,DSF0000822005,Educational Enhancements - Educational,2017,2508902
02,Manhattan,M017,I.S. 17,M408,DSF0000830259,Low-Voltage Electrical Systems,2017,838104
02,Manhattan,M017,I.S. 17,M212,DSF0000808176,State of Good Repair - Building Upgrade - Flood,2017,2402825
02,Manhattan,M017,I.S. 17,,DSF0000799773,State of Good Repair - Building Upgrade - Lighting,2016,95678
02,Manhattan,M017,I.S. 17,M212,DSF0000808180,State of Good Repair - System Replacements - Exterior,2017,1882605
02,Manhattan,M017,I.S. 17,,DSF0000823573,State of Good Repair - System Replacements - Heating,2018,69723
02,Manhattan,M017,I.S. 17,,DSF0000808179,State of Good Repair - System Replacements - Parapets,2017,213486
02,Manhattan,M017,I.S. 17,M212,DSF0000822122,State of Good Repair - System Replacements - Roofs,2017,693823
02,Manhattan,M017,I.S. 17,M212,DSF0000784813,State of Good Repair - System Replacements -,2015,140800
02,Manhattan,M017,I.S. 17,M212,DSF0000808181,State of Good Repair - System Replacements -,2017,51478
02,Manhattan,M017,I.S. 17,,DSF0000822121,State of Good Repair - System Replacements -,2017,275613
02,Manhattan,M017,I.S. 17,M212,DSF0000867104,New/Retrofit Telephone/Intercom Systems,2018,280549
02,Manhattan,M033,P.S. 33,,DSF0000866867,State of Good Repair - System Replacements -,2018,9000
02,Manhattan,M033,P.S. 33,,DSF0000799808,State of Good Repair - System Replacements - Heating,2015,168763
02,Manhattan,M033,P.S. 33,M033,DSF0000784943,State of Good Repair - System Replacements -,2015,153344
02,Manhattan,M033,P.S. 33,,DSF0000808310,State of Good Repair - System Replacements -,2015,669347
02,Manhattan,M040,P.S. 40,,DSF0000798365,State of Good Repair - Building Upgrade - Lighting,2015,839117
02,Manhattan,M040,P.S. 40,M040,DSF0000865995,State of Good Repair - System Replacements -,2018,170000
02,Manhattan,M040,P.S. 40,M040,DSF0000822045,New/Retrofit Telephone/Intercom Systems,2015,201694
02,Manhattan,M041,P.S. 41,M041,DSF0000808375,State of Good Repair - System Replacements -,2016,190438
02,Manhattan,M042,P.S. 42,,DSF0000866869,State of Good Repair - System Replacements -,2018,3000
02,Manhattan,M042,P.S. 42,M042,DSF0000808393,State of Good Repair - System Replacements -,2016,156560
02,Manhattan,M042,P.S. 42,M042,DSF0000865996,State of Good Repair - System Replacements -,2018,340000
02,Manhattan,M042,P.S. 42,M042,DSF0000822065,New/Retrofit Telephone/Intercom Systems,2015,240989
02,Manhattan,M047,J.H.S. 47 (SCH FOR THE DEAF),,DSF0000785113,State of Good Repair - Building Upgrade - Lighting,2015,1596045
02,Manhattan,M047,J.H.S. 47 (SCH FOR THE DEAF),,DSF0000785119,State of Good Repair - System Replacements - Exterior,2017,553814
02,Manhattan,M047,J.H.S. 47 (SCH FOR THE DEAF),M047,SCA0000030133,State of Good Repair - System Replacements - Parapets,2017,1628435
02,Manhattan,M047,J.H.S. 47 (SCH FOR THE DEAF),M047,DSF0000808489,State of Good Repair - System Replacements -,2016,150000
02,Manhattan,M047,J.H.S. 47 (SCH FOR THE DEAF),M047,DSF0000823645,State of Good Repair - System Replacements -,2016,201155
02,Manhattan,M047,J.H.S. 47 (SCH FOR THE DEAF),,DSF0000801088,State of Good Repair - System Replacements -,2017,986192
02,Manhattan,M047,J.H.S. 47 (SCH FOR THE DEAF),M347,DSF0000776051,IP Surveillance Camera Installation,2015,784218
02,Manhattan,M070,I.S. 70,M414,DSF0000821970,Educational Enhancements - Educational,2016,1359763
02,Manhattan,M070,I.S. 70,,DSF0000798359,State of Good Repair - Building Upgrade - Lighting,2015,589289
02,Manhattan,M070,I.S. 70,M312,DSF0000808720,State of Good Repair - Building Upgrade - Low-Voltage,2017,917664
02,Manhattan,M070,I.S. 70,,DSF0000866877,State of Good Repair - System Replacements -,2018,9000
02,Manhattan,M070,I.S. 70,,DSF0000799809,State of Good Repair - System Replacements - Heating,2015,129123
02,Manhattan,M070,I.S. 70,M312,DSF0000799864,State of Good Repair - System Replacements - Heating,2015,43622
02,Manhattan,M070,I.S. 70,M312,DSF0000865998,State of Good Repair - System Replacements -,2017,380952
02,Manhattan,M089,P.S./I.S. 89,M089,DSF0000842684,State of Good Repair - System Replacements -,2018,192125
02,Manhattan,M089,P.S./I.S. 89,,DSF0000799812,State of Good Repair - System Replacements - Heating,2015,55663
02,Manhattan,M089,P.S./I.S. 89,,DSF0000823574,State of Good Repair - System Replacements - Heating,2018,69723
02,Manhattan,M104,I.S. 104,,DSF0000785700,State of Good Repair - Building Upgrade - Lighting,2015,1424286
02,Manhattan,M104,I.S. 104,M104,DSF0000785705,State of Good Repair - System Replacements - Heating,2016,62704
02,Manhattan,M104,I.S. 104,M104,DSF0000866001,State of Good Repair - System Replacements -,2018,170000
02,Manhattan,M111,P.S. 111,M111,DSF0000809099,State of Good Repair - System Replacements -,2016,113785
02,Manhattan,M116,P.S. 116,,DSF0000775600,State of Good Repair - Building Upgrade - Boiler,2015,3994424
02,Manhattan,M116,P.S. 116,,DSF0000776204,State of Good Repair - Building Upgrade - Climate,2015,1559035
02,Manhattan,M116,P.S. 116,,DSF0000799583,State of Good Repair - Building Upgrade - Lighting,2015,155617
02,Manhattan,M116,P.S. 116,M116,DSF0000866004,State of Good Repair - System Replacements -,2018,170000
02,Manhattan,M124,P.S. 124 (ECF),,DSF0000785900,State of Good Repair - Building Upgrade - Lighting,2015,1443727
02,Manhattan,M124,P.S. 124 (ECF),M124,DSF0000831317,State of Good Repair - System Replacements -,2018,74283
02,Manhattan,M124,P.S. 124 (ECF),M124,DSF0000776056,IP Surveillance Camera Installation,2015,641978
02,Manhattan,M126,P.S. 126,M126,DSF0000843773,State of Good Repair - System Replacements -,2016,35401
02,Manhattan,M126,P.S. 126,,DSF0000866884,State of Good Repair - System Replacements -,2018,3000
02,Manhattan,M130,P.S. 130,,DSF0000786009,State of Good Repair - Building Upgrade - Reinforcing,2017,1464052
02,Manhattan,M130,P.S. 130,,DSF0000799814,State of Good Repair - System Replacements - Heating,2015,225557
02,Manhattan,M130,P.S. 130,M130,DSF0000867088,New/Retrofit Telephone/Intercom Systems,2018,188288
02,Manhattan,M131,I.S. 131,,DSF0000777497,Safety and Security - Safety and Security - Emergency,2015,125437
02,Manhattan,M131,I.S. 131,,DSF0000821606,State of Good Repair - System Replacements -,2019,479066
02,Manhattan,M131,I.S. 131,M131,DSF0000786035,State of Good Repair - System Replacements -,2015,78698
02,Manhattan,M158,P.S. 158,,DSF0000775978,Educational Enhancements - Educational,2015,964024
02,Manhattan,M158,P.S. 158,,DSF0000763742,State of Good Repair - Building Upgrade - Flood,2015,1875203
02,Manhattan,M158,P.S. 158,,DSF0000866889,State of Good Repair - System Replacements -,2018,9000
02,Manhattan,M158,P.S. 158,,SCA0000024913,State of Good Repair - System Replacements - Exterior,2015,18236105
02,Manhattan,M158,P.S. 158,M158,DSF0000866121,State of Good Repair - System Replacements - Heating,2018,77690
02,Manhattan,M158,P.S. 158,,DSF0000763744,State of Good Repair - System Replacements - Parapets,2015,3475323
02,Manhattan,M158,P.S. 158,,DSF0000763743,State of Good Repair - System Replacements - Roofs,2015,2220219
02,Manhattan,M158,P.S. 158,,DSF0000777440,State of Good Repair - System Replacements -,2015,3493532
02,Manhattan,M158,P.S. 158,,DSF0000876316,System Expansion - New Physical Education Facilities -,2019,1420015
02,Manhattan,M158,P.S. 158,M158,DSF0000865910,Classroom Connectivity,2017,267525
02,Manhattan,M167,I.S. 167,,DSF0000786448,State of Good Repair - Building Upgrade - Flood,2016,793643
02,Manhattan,M167,I.S. 167,,DSF0000821602,State of Good Repair - System Replacements -,2019,479066
02,Manhattan,M167,I.S. 167,,DSF0000866894,State of Good Repair - System Replacements -,2018,3000
02,Manhattan,M167,I.S. 167,,SCA0000024953,State of Good Repair - System Replacements - Exterior,2016,5210688
02,Manhattan,M167,I.S. 167,,DSF0000786449,State of Good Repair - System Replacements - Parapets,2016,1854136
02,Manhattan,M167,I.S. 167,,DSF0000786456,State of Good Repair - System Replacements - Paved,2016,322847
02,Manhattan,M167,I.S. 167,M167,DSF0000853820,State of Good Repair - System Replacements - Roofs,2016,1390888
02,Manhattan,M167,I.S. 167,,DSF0000809787,State of Good Repair - System Replacements -,2015,121601
02,Manhattan,M167,I.S. 167,M167,DSF0000866007,State of Good Repair - System Replacements -,2017,107936
02,Manhattan,M167,I.S. 167,,DSF0000799887,State of Good Repair - System Replacements -,2016,480169
02,Manhattan,M183,P.S. 183,,DSF0000844146,Domestic Piping,2017,167411
02,Manhattan,M183,P.S. 183,,DSF0000798268,State of Good Repair - Building Upgrade - Boiler,2018,6314262
02,Manhattan,M183,P.S. 183,,DSF0000798269,State of Good Repair - Building Upgrade - Climate,2018,1121047
02,Manhattan,M183,P.S. 183,,DSF0000777289,State of Good Repair - Building Upgrade - Flood,2015,282548
02,Manhattan,M183,P.S. 183,,DSF0000786577,State of Good Repair - Building Upgrade - Lighting,2015,17587
02,Manhattan,M183,P.S. 183,,DSF0000799592,State of Good Repair - Building Upgrade - Lighting,2015,15935
02,Manhattan,M183,P.S. 183,,DSF0000753130,State of Good Repair - System Replacements - Exterior,2015,11844958
02,Manhattan,M183,P.S. 183,M183,DSF0000853963,State of Good Repair - System Replacements - Heating,2018,146069
02,Manhattan,M183,P.S. 183,,DSF0000777290,State of Good Repair - System Replacements - Parapets,2015,837420
02,Manhattan,M183,P.S. 183,,DSF0000799938,State of Good Repair - System Replacements - Roofs,2015,669229
02,Manhattan,M190,P.S. 290,M290,DSF0000854019,State of Good Repair - Building Upgrade - Climate,2018,57811
02,Manhattan,M190,P.S. 290,,DSF0000876611,State of Good Repair - Building Upgrade - Flood,2019,689001
02,Manhattan,M190,P.S. 290,,DSF0000876614,State of Good Repair - System Replacements - Parapets,2019,1416585
02,Manhattan,M190,P.S. 290,,DSF0000876613,State of Good Repair - System Replacements - Roofs,2019,1137922
02,Manhattan,M190,P.S. 290,M290,DSF0000867125,New/Retrofit Telephone/Intercom Systems,2018,185429
02,Manhattan,M198,P.S. 198,M198,DSF0000775602,State of Good Repair - Building Upgrade - Boiler,2015,4746063
02,Manhattan,M198,P.S. 198,M198,DSF0000764140,State of Good Repair - Building Upgrade - Climate,2015,1284333
02,Manhattan,M198,P.S. 198,,DSF0000786769,State of Good Repair - System Replacements - Parapets,2017,205998
02,Manhattan,M198,P.S. 198,,DSF0000786768,State of Good Repair - System Replacements - Roofs,2017,396304
02,Manhattan,M198,P.S. 198,,DSF0000786770,State of Good Repair - System Replacements -,2017,7963969
02,Manhattan,M234,P.S. 234,M234,SCA0000027772,State of Good Repair - System Replacements - Paved,2016,1041101
02,Manhattan,M660,SCHL OF THE FUTURE (OLD BACON),,DSF0000866905,State of Good Repair - System Replacements -,2018,3000
02,Manhattan,M660,SCHL OF THE FUTURE (OLD BACON),,DSF0000810787,State of Good Repair - System Replacements -,2016,295843
02,Manhattan,M660,SCHL OF THE FUTURE (OLD BACON),M413,DSF0000866013,State of Good Repair - System Replacements -,2018,170000
02,Manhattan,M777,FIT,,DSF0000844033,Educational Enhancements - Educational,2016,654729
02,Manhattan,M777,FIT,,DSF0000866165,Educational Enhancements - Educational,2018,627255
02,Manhattan,M777,FIT,,DSF0000844034,State of Good Repair - Building Upgrade - Lighting,2016,257815
02,Manhattan,M777,FIT,,DSF0000843923,State of Good Repair - Building Upgrade - Low-Voltage,2017,8309515
02,Manhattan,M777,FIT,M000,DSF0000843776,State of Good Repair - System Replacements -,2017,482230
02,Manhattan,M777,FIT,M000,DSF0000843775,State of Good Repair - System Replacements - Heating,2017,2831627
02,Manhattan,M777,FIT,M000,DSF0000843777,State of Good Repair - System Replacements - Heating,2017,395676
02,Manhattan,M777,FIT,M000,DSF0000843778,State of Good Repair - System Replacements - Heating,2017,2204268
02,Manhattan,M777,FIT,,DSF0000843779,State of Good Repair - System Replacements - Heating,2017,234250
02,Manhattan,M777,FIT,M000,DSF0000843780,State of Good Repair - System Replacements - Heating,2017,449231
02,Manhattan,M777,FIT,,DSF0000844030,State of Good Repair - System Replacements - Heating,2016,748000
02,Manhattan,M777,FIT,,DSF0000844031,State of Good Repair - System Replacements - Heating,2016,711486
02,Manhattan,M777,FIT,,DSF0000844035,State of Good Repair - System Replacements - Heating,2017,4356606
02,Manhattan,M777,FIT,,DSF0000866164,State of Good Repair - System Replacements - Heating,2018,537869
02,Manhattan,M777,FIT,,DSF0000868070,State of Good Repair - System Replacements - Heating,2018,3437008
03,Manhattan,M009,P.S. 9,,DSF0000799578,State of Good Repair - Building Upgrade - Lighting,2015,133591
03,Manhattan,M009,P.S. 9,M009,DSF0000867126,New/Retrofit Telephone/Intercom Systems,2018,242651
03,Manhattan,M044,I.S. 44,M452,DSF0000821820,Educational Enhancements - Educational,2016,867202
03,Manhattan,M044,I.S. 44,,DSF0000798300,State of Good Repair - Building Upgrade - Lighting,2015,1196360
03,Manhattan,M044,I.S. 44,M245,DSF0000739460,State of Good Repair - Building Upgrade - Low-Voltage,2015,1911251
03,Manhattan,M044,I.S. 44,M245,DSF0000808430,State of Good Repair - System Replacements -,2016,150000
03,Manhattan,M054,I.S. 54,,DSF0000808563,State of Good Repair - Building Upgrade - Lighting,2016,1046371
03,Manhattan,M054,I.S. 54,,DSF0000866872,State of Good Repair - System Replacements -,2018,3000
03,Manhattan,M054,I.S. 54,,DSF0000785205,State of Good Repair - System Replacements - Exterior,2017,1288097
03,Manhattan,M075,P.S. 75,M075,DSF0000823602,Heating Plant Upgrade,2016,858696
03,Manhattan,M075,P.S. 75,,DSF0000775607,State of Good Repair - Building Upgrade - Boiler,2016,7759818
03,Manhattan,M075,P.S. 75,,DSF0000775608,State of Good Repair - Building Upgrade - Climate,2016,1100991
03,Manhattan,M075,P.S. 75,,DSF0000822223,State of Good Repair - Building Upgrade - Lighting,2016,983943
03,Manhattan,M075,P.S. 75,M075,DSF0000785406,State of Good Repair - System Replacements -,2016,112451
03,Manhattan,M076,P.S. 76,M076,DSF0000785426,State of Good Repair - System Replacements -,2015,71480
03,Manhattan,M076,P.S. 76,M076,DSF0000808779,State of Good Repair - System Replacements -,2016,71409
03,Manhattan,M084,P.S. 84,M084,DSF0000830924,State of Good Repair - System Replacements - Heating,2017,73208
03,Manhattan,M084,P.S. 84,M084,DSF0000822054,New/Retrofit Telephone/Intercom Systems,2015,225628
03,Manhattan,M084,P.S. 84,M084,DSF0000776053,IP Surveillance Camera Installation,2015,471063
03,Manhattan,M087,P.S. 87,,DSF0000830939,State of Good Repair - System Replacements -,2018,98407
03,Manhattan,M087,P.S. 87,M087,DSF0000808861,State of Good Repair - System Replacements -,2017,132434
03,Manhattan,M088,I.S. 88,,DSF0000865894,Educational Enhancements - Educational,2017,186453
03,Manhattan,M088,I.S. 88,M415,DSF0000776027,Educational Enhancements - Educational,2015,638821
03,Manhattan,M088,I.S. 88,M415,DSF0000843672,Educational Enhancements - Educational,2016,909218
03,Manhattan,M088,I.S. 88,,DSF0000843673,Educational Enhancements - Educational,2016,101351
03,Manhattan,M088,I.S. 88,M415,DSF0000843874,Educational Enhancements - Educational,2016,392199
03,Manhattan,M088,I.S. 88,M860,DSF0000843875,Educational Enhancements - Educational,2016,499784
03,Manhattan,M088,I.S. 88,,DSF0000843677,Educational Enhancements - Educational,2018,1682874
03,Manhattan,M088,I.S. 88,M415,DSF0000852922,State of Good Repair - Building Upgrade - Climate,2018,111328
03,Manhattan,M088,I.S. 88,,DSF0000799581,State of Good Repair - Building Upgrade - Lighting,2016,94562
03,Manhattan,M088,I.S. 88,M415,DSF0000865809,State of Good Repair - System Replacements -,2018,279837
03,Manhattan,M088,I.S. 88,,DSF0000830960,State of Good Repair - System Replacements -,2016,126514
03,Manhattan,M088,I.S. 88,,DSF0000867041,IP Surveillance Camera Installation,2018,391298
03,Manhattan,M113,P.S. 241,,DSF0000731099,State of Good Repair - Building Upgrade - Boiler,2016,5039457
03,Manhattan,M113,P.S. 241,,DSF0000718946,State of Good Repair - Building Upgrade - Climate,2016,1329208
03,Manhattan,M113,P.S. 241,M241,DSF0000866160,State of Good Repair - Building Upgrade - Climate,2018,104060
03,Manhattan,M113,P.S. 241,M241,DSF0000785769,State of Good Repair - Building Upgrade - Flood,2017,1632007
03,Manhattan,M113,P.S. 241,,DSF0000799582,State of Good Repair - Building Upgrade - Lighting,2015,181998
03,Manhattan,M113,P.S. 241,,DSF0000866882,State of Good Repair - System Replacements -,2018,15000
03,Manhattan,M113,P.S. 241,M241,DSF0000823647,State of Good Repair - System Replacements -,2016,101833
03,Manhattan,M118,I.S. 118,,DSF0000844706,Educational Enhancements - Educational,2017,244365
03,Manhattan,M118,I.S. 118,,DSF0000866278,Educational Enhancements - Educational,2018,466500
03,Manhattan,M118,I.S. 118,,DSF0000821969,Educational Enhancements - Educational,2015,374794
03,Manhattan,M118,I.S. 118,,DSF0000799584,State of Good Repair - Building Upgrade - Lighting,2015,396781
03,Manhattan,M118,I.S. 118,,DSF0000763233,State of Good Repair - System Replacements - Exterior,2017,6806064
03,Manhattan,M118,I.S. 118,,DSF0000763232,State of Good Repair - System Replacements - Parapets,2017,2905390
03,Manhattan,M118,I.S. 118,,DSF0000763231,State of Good Repair - System Replacements - Roofs,2017,3710344
03,Manhattan,M144,P.S. 242 (OLD P144),,DSF0000799959,Educational Enhancements - Educational,2016,467423
03,Manhattan,M144,P.S. 242 (OLD P144),M242,DSF0000786204,State of Good Repair - System Replacements - Heating,2015,33808
03,Manhattan,M144,P.S. 242 (OLD P144),M242,DSF0000865909,Classroom Connectivity,2017,247985
03,Manhattan,M145,P.S. 145,,DSF0000866886,State of Good Repair - System Replacements -,2018,12000
03,Manhattan,M145,P.S. 145,M421,DSF0000865806,State of Good Repair - System Replacements - Heating,2018,365358
03,Manhattan,M149,P.S. 149 (TANDEM M207),M811,DSF0000843671,Educational Enhancements - Educational,2016,844000
03,Manhattan,M149,P.S. 149 (TANDEM M207),M149,DSF0000843760,Educational Enhancements - Educational,2016,586728
03,Manhattan,M149,P.S. 149 (TANDEM M207),M149,DSF0000865763,Educational Enhancements - Educational,2017,137450
03,Manhattan,M149,P.S. 149 (TANDEM M207),M149,DSF0000865765,Educational Enhancements - Educational,2017,301720
03,Manhattan,M149,P.S. 149 (TANDEM M207),M811,DSF0000865766,Educational Enhancements - Educational,2017,207337
03,Manhattan,M149,P.S. 149 (TANDEM M207),M811,DSF0000865767,Educational Enhancements - Educational,2017,155000
03,Manhattan,M149,P.S. 149 (TANDEM M207),M811,DSF0000865768,Educational Enhancements - Educational,2017,55000
03,Manhattan,M149,P.S. 149 (TANDEM M207),,DSF0000786253,State of Good Repair - Building Upgrade - Lighting,2015,871362
03,Manhattan,M149,P.S. 149 (TANDEM M207),M149,DSF0000822115,State of Good Repair - System Replacements -,2016,150000
03,Manhattan,M149,P.S. 149 (TANDEM M207),M149,DSF0000823650,State of Good Repair - System Replacements -,2016,304792
03,Manhattan,M163,P.S. 163,M163,DSF0000865807,Educational Enhancements - Educational,2017,95000
03,Manhattan,M163,P.S. 163,,DSF0000799702,State of Good Repair - Building Upgrade - Lighting,2015,123496
03,Manhattan,M163,P.S. 163,M163,DSF0000822265,State of Good Repair - Rehabilitation of Physical,2017,3215089
03,Manhattan,M163,P.S. 163,,DSF0000866891,State of Good Repair - System Replacements -,2018,3000
03,Manhattan,M165,P.S. 165,,DSF0000866892,State of Good Repair - System Replacements -,2018,3000
03,Manhattan,M165,P.S. 165,,DSF0000777681,State of Good Repair - System Replacements - Exterior,2016,6410241
03,Manhattan,M165,P.S. 165,,DSF0000799928,State of Good Repair - System Replacements - Roofs,2016,1055998
